,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
1831,"
Batido de cacao Cola Cao pack de 9 botellas de 200 ml.","
 Pack 9x200 Ml. |
2,47 €/l","4,45 €",,,
1832,"
Batido de chocolate Pascual pack de 9 briks de 200 ml.","
 Pack 9x200 Ml. |
1,92 €/l","3,45 €",,,
1833,"
Batido de vanilla Puleva pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
1,71 €/l","2,05 €",,,
1834,"
Batido de cacao Cacaolat pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
2,12 €/l","2,55 €",,,
1835,"
Batido de cacao Cacaolat botella 1 l.","
 1 L. |
1,88 €/l","1,88 €",,,
1836,"
Batido de fresa Puleva pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
1,71 €/l","2,05 €",,,
1837,"
Batido de cacao Carrefour sin gluten botella 1 l.","
 1 L. |
0,85 €/l","0,85 €",,,
1838,"
Horchata de chufa Chufi Original botella 1 l.","
 1 L. |
1,56 €/l","1,56 €",,,
1839,"
Batido de chocolate Central Lechera Asturiana pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
1,71 €/l","2,05 €",,,
1840,"
Batido de chocolate Puleva botella 1 l.","
 1 L. |
1,39 €/l","1,39 €",,,
1841,"
Batido de chocolate Milka 200 ml.","
 200 Ml. |
6,90 €/l","1,38 €",,,
1842,"
Batido de chocolate Puleva sin lactosa pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
1,75 €/l","2,10 €",,,
1843,"
Batido de chocolate Okey botella 750 ml.","
 750 Ml. |
1,47 €/l",,"
1,20 €","
1,10 €",
1844,"
Batido de vanilla Okey botella 750 ml.","
 750 Ml. |
1,47 €/l",,"
1,20 €","
1,10 €",
1845,"
Batido de cacao all natural 50% menos de azúcares añadidos Nesquik sin gluten pack de 3 briks de 180 ml.","
 Pack 3x180 Ml. |
2,98 €/l","1,61 €",,,
1846,"
Batido de fresa Oey botella 750 ml.","
 750 Ml. |
1,60 €/l","1,20 €",,,
1847,"
Batido Milkybar Shake 180 ml.","
 180 Ml. |
7,28 €/l","1,31 €",,,
1848,"
Batido de fresa Puleva botella 1l.","
 1 L. |
1,39 €/l","1,39 €",,,
1849,"
Batido de vanilla Puleva botella 1 l.","
 1 L. |
1,39 €/l","1,39 €",,,
1850,"
Batido de cacao sin azúcar añadidos Cacaolat 1 l.","
 1 L. |
1,83 €/l","1,83 €",,,
1851,"
Bebida de soja sabor chocolate Alpro Central Lechera Asturiana pack de 3 briks de 250 ml.","
 Pack 3x250 Ml. |
2,52 €/l","1,89 €",,,
1852,,,,,,
1853,"
Bebida de avena YoSoy brik 1 l.","
 1 L. |
1,47 €/l","1,47 €",,,
1854,"
Bebida de avena sin azúcares añadidos ecológica YoSoy brik 1 l.","
 1 L. |
1,68 €/l","1,68 €",,,
1855,"
Bebida de almendras tostadas sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,04 €/l","1,04 €",,,3x2
1856,"
Bebida de avena calcio sin azucar añadido Carrefour brik 1 l.","
 1 L. |
1,15 €/l","1,15 €",,,
1857,"
Bebida de soja natural ViveSoy brik 1 l.","
 1 L. |
1,48 €/l","1,48 €",,,2x1 Acumulación
1858,"
Bebida de avena sabor natural sin azúcar añadido ViveSoy brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,2x1 Acumulación
1859,"
Bebida de soja ligera ViveSoy brik 1 l.","
 1 L. |
1,48 €/l","1,48 €",,,
1860,"
Bebida de soja Carrefour con calcio brik 1 l.","
 1 L. |
0,78 €/l","0,78 €",,,
1861,"
Bebida de avena sin azúcar añadido Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,3x2
1862,"
Bebida de arroz ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,09 €/l","1,09 €",,,
1863,"
Bebida de soja ligera Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
1864,"
Bebida de coco sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,3x2
1865,"
Bebida de soja sin azúcar añadido Carrefour sin gluten brik 1 l.","
 1 L. |
0,88 €/l","0,88 €",,,
1866,"
Bebida de avena con calcio sin azúcar añadido YoSoy brik 1 l.","
 1 L. |
1,45 €/l","1,45 €",,,
1867,"
Bebida de soja sin azúcares Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
1868,"
Bebida de soja Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
1869,"
Bebida de avena sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l",,"
1,92 €","
1,79 €",3x2
1870,"
Bebida de almendras sin azúcar ViveSoy brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,
1871,"
Bebida de avena y chocolate sin azúcar añadido YoSoy brik 1 l.","
 1 L. |
1,69 €/l","1,69 €",,,
1872,"
Bebida de almendra Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,3x2
1873,"
Bebida de almendras Almendrola sin azúcar brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,
1874,"
Bebida de arroz sin azúcares añadidos YoSoy sin gluten y sin lactosa brik1 l.","
 1 L. |
1,46 €/l","1,46 €",,,
1875,"
Bebida de almendra YoSoy sin azúcar brik 1 l.","
 1 L. |
1,80 €/l","1,80 €",,,
1876,"
Bebida de almendra ecológica Carrefour Bio brik 1 l.","
 1 L. |
2,05 €/l","2,05 €",,,
1877,,,,,,
1878,"
Leche semidesnatada Carrefour pack de 6 briks de 200 ml.","
 Pack 6x200 Ml. |
1,08 €/l","1,29 €",,,
1879,"
Leche semidesnatada Carrefour brik 1l.","
 1 L. |
0,58 €/l","0,58 €",,,
1880,"
Leche entera Carrefour brik 1l.","
 1 L. |
0,58 €/l","0,58 €",,,
1881,"
Leche semidesnatada Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1882,"
Leche desnatada Carrefour brik 1L.","
 1 L. |
0,58 €/l","0,58 €",,,
1883,"
Leche entera Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1884,"
Leche entera Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1885,"
Leche semidesnatada Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1886,"
Leche semidesnatada Président brik 1 l.","
 1 L. |
0,74 €/l","0,74 €",,,
1887,"
Leche semidesnatada Carrefour sin lactosa brik 1 l.","
 1 L. |
0,75 €/l","0,75 €",,,
1888,"
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.","
 1 L. |
0,89 €/l",,"
0,93 €","
0,89 €",
1889,"
Leche desnatada 0% MG Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1890,"
Leche semidesnatada Central Lechera Asturiana botella 2,2 l.","
 2,2 L. |
0,76 €/l","1,67 €",,,
1891,"
Leche desnatada Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1892,"
Leche desnatada Carrefour sin lactosa brik 1 l.","
 1 L. |
0,75 €/l","0,75 €",,,
1893,"
Leche entera Central Lechera Asturiana botella 2,2 l.","
 2,2 L. |
0,76 €/l","1,67 €",,,
1894,"
Leche entera ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
1895,"
Leche semidesnatada Central Lechera Asturiana botella 1,5 l.","
 1,5 L. |
0,83 €/l","1,25 €",,,
1896,"
Leche semidesnatada Pascual sin lactosa brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
1897,"
Leche semidesnatada ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
1898,"
Leche desnatada Président brik 1 l.","
 1 L. |
0,74 €/l","0,74 €",,,
1899,"
Leche desnatada Central Lechera Asturiana sin lactosa brik 1 l.","
 1 L. |
0,89 €/l",,"
0,93 €","
0,89 €",
1900,"
Leche entera Président brik 1 l.","
 1 L. |
0,74 €/l","0,74 €",,,
1901,"
Leche entera Central Lechera Asturiana botella 1,5 l.","
 1,5 L. |
0,83 €/l","1,25 €",,,
1902,,,,,,
1903,"
Leche semidesnatada Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1904,"
Leche entera Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1905,"
Leche entera Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1906,"
Leche semidesnatada Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1907,"
Leche semidesnatada Central Lechera Asturiana sin lactosa brik 1 l.","
 1 L. |
0,89 €/l",,"
0,93 €","
0,89 €",
1908,"
Leche desnatada 0% MG Pascual brik 1 l.","
 1 L. |
0,89 €/l","0,89 €",,,"16 x 0,74€/ud."
1909,"
Leche desnatada Central Lechera Asturiana brik 1 l.","
 1 L. |
0,76 €/l",,"
0,79 €","
0,76 €",
1910,"
Leche desnatada Central Lechera Asturiana sin lactosa brik 1 l.","
 1 L. |
0,89 €/l",,"
0,93 €","
0,89 €",
1911,"
Bebida láctea desnatada Omega 3 Puleva brik 1.","
 1 L. |
1,29 €/l",,"
1,39 €","
1,29 €",
1912,"
Bebida de almendras tostadas sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,04 €/l","1,04 €",,,3x2
1913,"
Bebida de soja natural ViveSoy brik 1 l.","
 1 L. |
1,48 €/l","1,48 €",,,2x1 Acumulación
1914,"
Bebida de avena sabor natural sin azúcar añadido ViveSoy brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,2x1 Acumulación
1915,"
Bebida de avena sin azúcar añadido Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,3x2
1916,"
Mantequilla Carrefour 250 g.","
 250 G. |
6,36 €/kg",,"
2,09 €","
1,59 €",
1917,"
Leche entera Central Lechera Asturiana sin lactosa brik 1 l.","
 1 L. |
0,89 €/l",,"
0,93 €","
0,89 €",
1918,"
Bebida de coco sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l","1,79 €",,,3x2
1919,"
Mantequilla sin colorantes fácil de untar Carrefour 250 g.","
 250 G. |
6,36 €/kg",,"
2,10 €","
1,59 €",
1920,"
Bebida láctea desnatada Omega 3 Puleva con nueces brik 1 l.","
 1 L. |
1,29 €/l",,"
1,49 €","
1,29 €",
1921,"
Mantequilla fácil de untar ligeramente salada Lurpak 250 g.","
 250 G. |
13,64 €/kg","3,41 €",,,5€ dto.
1922,"
Margarina con un toque de aceite de oliva Flora sin gluten sin lactosa 250 g.","
 250 G. |
6,20 €/kg","1,55 €",,,2x1 Acumulación
1923,"
Salsa bechamel Knorr brik 500 ml.","
 500 Ml. |
4,30 €/l","2,15 €",,,3x2
1924,"
Bebida de avena sin azúcar Alpro Central Lechera Asturiana brik 1 l.","
 1 L. |
1,79 €/l",,"
1,92 €","
1,79 €",3x2
1925,"
Leche entera ecológica Puleva brik 1 l.","
 1 L. |
1,00 €/l",,"
1,29 €","
1,00 €",
1926,"
Leche semidesnatada ecológica Puleva brik 1 l.","
 1 L. |
1,00 €/l",,"
1,29 €","
1,00 €",
1927,,,,,,
1928,"
Queso de untar ecológico Carrefour Bio 200 g.","
 200 G. |
6,80 €/kg","1,36 €",,,
1929,"
Tomate cherry ecológico Carrefour Bio 250 g","
 250 G |
6,00 €/kg","1,50 €",,,
1930,"
Hogaza de pan grande ecológica Carrefour Bio 800 g aprox","
 1 Ud |
3,75 €/kg","3,00 €",,,
1931,"
Salchichas vegetales ecológicas Carrefour Bio 230 g.","
 230 G. |
10,43 €/kg","2,40 €",,,
1932,"
Guisantes ecológico Carrefor Bio 600 g.","
 600 G. |
3,48 €/kg","2,09 €",,,
1933,"
Espinacas cortada ecológicas Carrefour Bio 600 g.","
 600 G. |
3,42 €/kg","2,05 €",,,
1934,"
Cebolla troceada congelada ecológica Carrefour Bio 450 g.","
 450 G. |
2,80 €/kg","1,26 €",,,
1935,"
Masa pizza ecológica Carrefour Bio 260 g.","
 260 G. |
8,27 €/kg","2,15 €",,,
1936,"
Queso rallado emmental ecológico Carrefour Bio 200g.","
 200 G. |
12,00 €/kg","2,40 €",,,
1937,"
Pimiento ecológico Carrefour Bio 2 uds 300 g","
 300 G.  |
9,30 €/kg","2,79 €",,,
1938,"
Lomo de salmón ecológico Carrefour Bio 300 g","
 300 G. |
43,30 €/kg","12,99 €",,,
1939,"
Pan tostado con trigo integral ecológico Carrefour Bio 250 g.","
 250 G. |
7,36 €/kg","1,84 €",,,
1940,"
Hogaza de pan mediana ecológica Carrefour Bio 400 g aprox","
 1 Ud |
4,33 €/kg","1,95 €",,,
1941,"
Patatas fritas para horno ecológicas Carrefour Bio 600 g.","
 600 G. |
4,50 €/kg","2,70 €",,,
1942,"
Queso fresco natural ecológico Carrefour Bio 500 g.","
 500 G. |
3,74 €/kg","1,87 €",,,
1943,"
Pan integral 100 % ecológico con pipas de girasol Carrefour Bio 500 g","
 1 Ud |
5,00 €/kg","2,50 €",,,
1944,"
Biscottes integrales ecológicos Carrefour Bio 300 g.","
 300 G. |
7,50 €/kg","2,25 €",,,
1945,"
Carpaccio de vacuno ecológico Carrefour Bio 120 g aprox","
 120 G Aprox |
24,92 €/kg","2,99 €",,,
1946,"
Hierbabuena ecológico Carrefour Bio maceta 1 ud","
 1 Ud. |
1,39 €/ud","1,39 €",,,
1947,"
Crackers de trigo de espelta con semillas ecológicos Carrefour Bio 200 g.","
 200 G. |
8,95 €/kg","1,79 €",,,
1948,"
Jamón cocido ecológico Carrefour Bio sin gluten y sin lactosa 100 g","
 100 G |
19,90 €/kg","1,99 €",,,
1949,"
Tartines Crujientes de Centeno y Sésamo Ecológicos Carrefour Bio 200 g.","
 200 G. |
9,65 €/kg","1,93 €",,,
1950,"
Queso emmental ecológico Carrefour Bio 200 g","
 200 G |
18,00 €/kg","3,60 €",,,
1951,"
Pechuga de pavo ecológico Carrefour Bio 100 g","
 100 G |
27,50 €/kg","2,75 €",,,
1952,,,,,,
1953,"
Conos con helado de vainilla Carrefour Extra 6 ud.","
 6 Ud. |
0,25 €/ud","1,50 €",,,
1954,"
Bombón helado de vainilla y almendras Magnum pack de 4 unidades de 82 g.","
 Pack 4x82 G. |
1,16 €/ud","3,49 €",,,
1955,"
Helado de vainilla Carte D'or 900 ml.","
 900 Ml. |
5,98 €/kg","2,99 €",,,
1956,"
Tarta helada laminada de nata Carrefour 525 g.","
 525 G. |
2,78 €/kg","1,46 €",,,
1957,"
Sandwich de nata y galleta Oreo 6 ud.","
 6 Ud. |
0,58 €/ud","3,50 €",,,
1958,"
Helado chunky monkey Ben&Jerry's 465 ml.","
 465 Ml. |
14,20 €/kg","5,95 €",,,3x2
1959,"
Helado de nuez de macadamia Häagen Dazs sin gluten 400 g.","
 400 G. |
15,75 €/kg","6,30 €",,,
1960,"
Helado de chocolate belga Häagen Dazs sin gluten 400 g.","
 400 G. |
15,75 €/kg","6,30 €",,,
1961,"
Helado cookie dough Ben&Jerry's 465 ml.","
 465 Ml. |
13,42 €/kg",,"
5,95 €","
5,45 €",3x2
1962,"
Helado de brownie Carte D'or 1 l.","
 1 L. |
8,70 €/kg","4,35 €",,,
1963,"
Helado de cheesecake y fresas Häagen Dazs 400 g.","
 400 G. |
15,75 €/kg","6,30 €",,,
1964,"
Helado Fantasmikos Pirulo Nestlé sin gluten 15 ud.","
 15 Ud. |
0,26 €/ud","3,95 €",,,
1965,"
Helado de tres chocolates Carrefour 489 g.","
 900 Ml. |
4,00 €/kg","1,95 €",,,
1966,"
Mini sandwich Maxibon Nestlé Helados 6 ud.","
 6 Ud. |
0,68 €/ud","4,10 €",,,3x2
1967,"
Bombón helado Double Chocolate Magnum 3 ud.","
 3 Ud. |
1,10 €/ud",,"
3,40 €","
3,30 €",3x2
1968,"
Helado de vainilla Carte D'or 1,5 l.","
 1,5 L. |
8,20 €/kg","4,10 €",,,
1969,"
Helado de chocolate con leche Kinder 10 ud.","
 10 Ud. |
0,40 €/ud","3,95 €",,,
1970,"
Helado de dulce de leche Häagen Dazs sin gluten 400 g.","
 400 G. |
15,75 €/kg","6,30 €",,,
1971,"
Helado de almendra Magnum 440 ml.","
 440 Ml. |
20,71 €/kg","6,15 €",,,3x2
1972,"
Conos con helado de tres chocolates Carrefour 6 ud.","
 6 Ud. |
0,37 €/ud","2,24 €",,,
1973,"
Bombón helado de chocolate blanco y cookies Magnum pack de 3 unidades de 74 g.","
 Pack 3x70 G. |
1,30 €/ud","3,90 €",,,
1974,"
Helado netflix & chilll'd Ben&Jerry´s 465 ml.","
 465 Ml. |
15,43 €/kg","6,25 €",,,3x2
1975,"
Helado sorbete de limón Carrefour 580 g.","
 1000 Ml. |
3,28 €/kg","1,90 €",,,
1976,"
Bombón helado Choco Clack Nestlé Helados sin gluten 4 ud.","
 4 Ud. |
0,75 €/ud","3,00 €",,,
1977,,,,,,
1978,"
Café frappuccino de vainilla Starbucks 250 ml.","
 250 Ml. |
6,96 €/l","1,74 €",,,
1979,"
Café skinny latte Starbucks sin lactosa sin azúcares añadidos 220 g.","
 220 G. |
7,91 €/l","1,74 €",,,
1980,"
Café latte cappuccino Carrefour Bio sin gluten 230 ml.","
 230 Ml. |
4,30 €/l","0,99 €",,,
1981,"
Café latte descafeinado Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
1982,"
Café frappuccino Starbucks 250 ml.","
 250 Ml. |
6,96 €/l","1,74 €",,,
1983,"
Café latte cappuccino Kaiku 370 ml.","
 370 Ml. |
5,54 €/l","2,05 €",,,
1984,"
Café espresso con leche Monster 250 ml.","
 250 Ml. |
6,12 €/l","1,53 €",,,
1985,"
Café latte Colombia Edition Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
1986,"
Café latte de vainilla Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
1987,"
Café con leche cappuccino Puleva 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
1988,"
Batido de vanilla Shake Danet 211 g.","
 211 G. |
5,50 €/kg","1,16 €",,,
1989,"
Batido de cacao shake Carrefour 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
1990,"
Café latte Carrefour No Lactosa sin gluten 250 ml.","
 250 Ml. |
3,40 €/l","0,85 €",,,
1991,"
Café latte cappuccino Carrefour Veggie sin lactosa 240 ml.","
 240 Ml. |
3,33 €/l","0,80 €",,,
1992,"
Batido de chocolate shake Danet 211 g.","
 211 G. |
7,39 €/kg","1,56 €",,,
1993,"
Café con leche cappuccino Puleva 220 ml.","
 220 Ml. |
4,14 €/l","0,91 €",,,
1994,"
Café con leche Puleva Original Deliss 220 ml.","
 220 Ml. |
4,14 €/l","0,91 €",,,
1995,,,,,,
1996,"
Queso tierno en barra El Ventero al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
12,10 €/kg","1,81 €",,,
1997,"
Queso de vaca tierno gouda de Holanda Carrefour 350 g aprox","
 Envase De  350.0 G. Aprox |
5,78 €/kg","2,02 €",,,
1998,"
Queso rallado 4 Quesos Président 150 g.","
 150 G. |
13,33 €/kg","2,00 €",,,
1999,"
Queso semicurado mezcla mini García Baquero pieza 930 g","
 930 G |
14,30 €/kg","13,30 €",,,2x1 Acumulación
2000,"
Queso en lonchas mozzarella en lonchas Arla 150 g.","
 150 G. |
13,67 €/kg","2,05 €",,,5€ dto.
2001,"
Queso en porciones El Caserío 250 g.","
 250 G. |
6,80 €/kg","1,70 €",,,
2002,"
Queso fresco Vega e Hijos 250 g.","
 250 G. |
7,72 €/kg","1,93 €",,,
2003,"
Queso comté D.O.P. 5 meses curación Carrefour cuña 250 g","
 Cuña De |
16,40 €/kg","4,10 €",,,
2004,"
Queso curado mezcla ya cortado Gran Capitán cuña de 210 g","
 210 G |
20,48 €/kg","4,30 €",,,
2005,"
Queso de untar con finas hierbas Philadelphia 150 g.","
 150 G. |
12,60 €/kg","1,89 €",,,
2006,"
Queso emmental bloque President 250 g","
 250 G |
13,60 €/kg","3,40 €",,,
2007,"
Queso rallado emmental Margui 400 g.","
 400 G. |
6,75 €/kg","2,70 €",,,
2008,"
Queso mezcla curado Gran Capitán cuña 1/8 410 g aprox","
 Envase De  410.0 G. Aprox |
13,95 €/kg","5,72 €",,,
2009,"
Queso en lonchas alto en proteina y bajo en grasa Arla 150 g.","
 150 G. |
16,60 €/kg","2,49 €",,,5€ dto.
2010,"
Queso havarti Loncha Millán Vicente 150 g.","
 150 G |
13,27 €/kg",,"
2,15 €","
1,99 €",2x1 Acumulación
2011,"
Queso provolone con orégano Auricchio Hispano Italiana 200 g","
 200 G |
16,50 €/kg","3,30 €",,,
2012,"
Queso mascarpone Carrefour 250 g.","
 250 G. |
6,80 €/kg","1,70 €",,,
2013,"
Queso Parmesano escama Carrefour 100 g.","
 100 G. |
19,80 €/kg","1,98 €",,,
2014,"
Queso rallado cinco quesos Miraflores 150 g.","
 150 G. |
14,33 €/kg","2,15 €",,,2x1 Acumulación
2015,"
Queso en lonchas Havarti 300 g.","
 300 G. |
12,17 €/kg","3,65 €",,,5€ dto.
2016,"
Queso en lonchas Gouda Light Carrefour 200 g.","
 200 G. |
9,35 €/kg","1,87 €",,,
2017,"
Queso en lonchas light El Caserío 300 g.","
 300 G. |
6,10 €/kg","1,83 €",,,
2018,"
Queso Tetilla D.O.P. Central Lechera Gallega pieza 700 g","
 Pieza De |
7,86 €/kg","5,50 €",,,
2019,"
Queso curado puro de oveja","
 Cuña De 375.0 G. Aprox |
9,56 €/kg","3,58 €",,,
2020,,,,,,
2021,"
Piccolinis 3 quesos Buitoni pack de 3 unidades de 90 g.","
 Pack 3x90 G. |
10,93 €/kg","2,95 €",,,3x2
2022,"
Croquetas de cocido casero con jamón serrano 'Recetas Artesanas' La Cocinera 500 g.","
 500 G. |
6,70 €/kg",,"
3,50 €","
3,35 €",3x2
2023,"
Salteado verdura con bacón Carrefour 450 g.","
 450 G. |
2,91 €/kg","1,31 €",,,
2024,"
Helado After Dinner Magnum sin gluten 10 ud.","
 10 Ud. |
0,46 €/ud","4,60 €",,,
2025,"
Pizza prosciutto funghi Ristorante Dr. Oetker 350 g.","
 350 G. |
9,89 €/kg",,"
3,60 €","
3,46 €",3x2
2026,"
Lasaña de atún La Cocinera 530 g.","
 530 G. |
6,96 €/kg",,"
3,95 €","
3,69 €",3x2
2027,"
Empanadillas de bonito La Cocinera 312 g.","
 312 G. |
10,26 €/kg","3,20 €",,,5€ dto.
2028,"
Pizza mozzarella Ristorante Dr. Oetker sin gluten 370 g.","
 370 G. |
9,35 €/kg",,"
4,05 €","
3,46 €",3x2
2029,"
Pizza hawaii Ristorante Dr. Oetker 355 g.","
 355 G. |
9,75 €/kg",,"
3,60 €","
3,46 €",3x2
2030,"
Base de pizza La Cocinera pack de 4 unidades de 130 g.","
 Pack 4x130 G. |
4,42 €/kg","2,30 €",,,5€ dto.
2031,"
Fresas congeladas Carrefour 650 g.","
 650 G. |
4,92 €/kg","3,20 €",,,
2032,"
Pizza boloñesa Carrefour 375 g.","
 375 G. |
5,04 €/kg","1,89 €",,,
2033,"
Pizza prosciutto Ristorante Dr. Oetker sin gluten 345 g.","
 345 G. |
10,03 €/kg",,"
4,05 €","
3,46 €",3x2
2034,"
Pizza funghi Ristorante Dr. Oetker 365 g.","
 365 G. |
9,48 €/kg",,"
3,60 €","
3,46 €",3x2
2035,"
Pizza vegetale Ristorante Dr. Oetker 410 g.","
 410 G. |
8,44 €/kg",,"
3,60 €","
3,46 €",3x2
2036,"
Pizza delizia fina y crujiente Forno di Pietra Buitoni 320 g.","
 320 G. |
9,94 €/kg","3,18 €",,,3x2
2037,"
Piccolinis salchichas frankfurt Buitoni 270 g.","
 270 G. |
10,93 €/kg","2,95 €",,,3x2
2038,"
Aros de cebolla Mc Cain 400 g.","
 400 G. |
5,00 €/kg","2,00 €",,,
2039,"
Mini pizzas de jamón y queso Carrefour 270 g.","
 270 G. |
6,96 €/kg","1,88 €",,,
2040,"
Pizza prosciutto funghi Bella Napoli Buitoni 415 g.","
 415 G. |
10,96 €/kg","4,55 €",,,3x2
2041,"
Surfers de merluza rebozada Pescanova 400 g.","
 400 G. |
7,87 €/kg","3,15 €",,,
2042,"
Nuggets de pollo Maheso sin gluten 300 g.","
 300 G. |
10,83 €/kg","3,25 €",,,
2043,"
Conos con helado de nata y fresa Carrefour 4 ud.","
 4 Ud. |
0,25 €/ud","1,00 €",,,
2044,"
Pizza de queso de cabra Carrefour 600 g.","
 440 G. |
4,43 €/kg","1,95 €",,,
2045,,,,,,
2046,"
Nata para montar ecológica Président 250 ml.","
 250 Ml. |
9,20 €/l","2,30 €",,,
2047,"
Preparado alimenticio de almendras ecológico EcoMil sin gluten y sin lactosa 200 ml.","
 200 Ml. |
8,65 €/l","1,73 €",,,
2048,"
Nata para cocinar espesa Président 500 ml.","
 500 Ml. |
4,80 €/l","2,40 €",,,
2049,"
Nata montada Puleva spray 250 g.","
 250 G. |
7,20 €/l","1,80 €",,,
2050,"
Nata montada azucarada y aromatizada Carrefour 500 g.","
 500 G. |
2,58 €/kg","1,29 €",,,
2051,"
Nata montada azucarada sin lactosa Central Lechera Asturiana spray 250 ml.","
 250 Ml. |
7,96 €/l","1,99 €",,,
2052,"
Nata montada Président spray 250 g.","
 250 G. |
9,60 €/kg","2,40 €",,,
2053,"
Nata para cocinar Central Lechera Asturiana 1 l.","
 1 L. |
3,29 €/l","3,29 €",,,
2054,"
Nata montada ligera Central Lechera Asturiana spray 250 g.","
 250 G. |
7,76 €/kg","1,94 €",,,
2055,"
Nata para repostería Central Lechera Asturiana 500 ml.","
 500 Ml. |
4,20 €/l","2,10 €",,,
2056,"
Nata para montar Dr. Oetker 3 ud.","
 3 Ud. |
35,00 €/kg","1,05 €",,,
2057,"
Nata para montar ligera Kaiku - Sin Lactosa 200 ml.","
 200 Ml. |
7,80 €/l","1,56 €",,,
2058,"
Nata fresca muy cremosa ideal salsas y cremas Albe sin gluten 500 g.","
 500 G. |
5,80 €/kg","2,90 €",,,
2059,"
Nata para café Meggle pack de 10 porciones de 10 g.","
 Pack 10x10 G. |
2,05 €/kg","0,82 €",,,
2060,,,,,,
2061,"
Queso mascarpone Trentin 500 g.","
 500 G. |
6,78 €/kg","3,39 €",,,
2062,"
Queso rallado mozzarella Millan Vicente 150 g.","
 150 G. |
9,53 €/kg","1,43 €",,,
2063,"
Queso fresco Flor de Esgueva 250 g.","
 250 G. |
10,40 €/kg","2,60 €",,,
2064,"
Queso fresco de Burgos Natural El Ventero 250 gr","
 Pack 4x62,5 Gr.		 |
6,44 €/kg","1,61 €",,,
2065,"
Queso fresco sin sal Burgo de Arias pack de 3 unidades de 72 g.","
 3x72 G. |
10,32 €/kg","2,23 €",,,
2066,"
Queso de cabra en dados El Pastor 150 g.","
 150 G. |
16,67 €/kg","2,50 €",,,
2067,"
Queso Burrata fresca Bicchiere Solo Italia 150 g.","
 150 G |
26,00 €/kg","3,90 €",,,
2068,"
Queso cabra blanca tradicional Cabrelx 400 g","
 400 G |
12,38 €/kg","4,95 €",,,
2069,"
Queso mascarpone Galbani 500 g.","
 500 G. |
8,98 €/kg","4,49 €",,,
